state,lat,long,pct,max,min,count
Arizona,34.048928,-111.093731,43,45,42,4
California,36.778261,-119.417932,32.61,64,21,16
Colorado,39.550051,-105.782067,46.12,45.1,48.5,5
Florida,27.664827,-81.515754,47.89,52.7,41,15
Iowa,41.878003,-93.097702,51.12,54.8,47,16
Massachusetts,42.407211,-71.382437,34.76,49,46,3
Maine,45.253783,-69.445469,47.6,36.9,31.2,5
Michigan,44.314844,-85.602364,42.37,48.7,36,13
North Carolina,35.759573,-79.0193,45.49,51.2,41,23
Nevada,38.80261,-116.419389,47.93,53.7,43,12
New Hampshire,43.193852,-71.572395,44.81,50.9,40,20
New York,43.299428,-74.217933,35,36,34,2
Ohio,40.417287,-82.907123,44.33,46,42,6
Pennsylvania,41.203322,-77.194525,45.52,49.3,42,11
South Carolina,33.836081,-81.163725,53.99,56.1,51.3,13
Texas,31.968599,-99.901813,44.46,54.2,37.1,57
Utah,39.32098,-111.093731,40.14,48,31,7
Virginia,37.431573,-78.656894,38.75,39,38,4
Wisconsin,43.78444,-88.787868,46.34,50.2,42,12
