question_id,poll_id,state,pollster,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,start_date,end_date,answer,candidate_name,candidate_party,pct,lat,long
102800,59598,Arizona,Bendixen & Amandi International,SMART Local 359,Bendixen & Amandi International,29,Bendixen & Amandi International,B-,520,rv,rv,Live Phone,U.S. President,9/9/19,9/12/19,Sanders,Bernard Sanders,DEM,37,34.048928,-111.093731
102800,59598,Arizona,Bendixen & Amandi International,SMART Local 359,Bendixen & Amandi International,29,Bendixen & Amandi International,B-,520,rv,rv,Live Phone,U.S. President,9/9/19,9/12/19,Trump,Donald Trump,REP,45,34.048928,-111.093731
102801,59598,Arizona,Bendixen & Amandi International,SMART Local 359,Bendixen & Amandi International,29,Bendixen & Amandi International,B-,520,rv,rv,Live Phone,U.S. President,9/9/19,9/12/19,Harris,Kamala D. Harris,DEM,38,34.048928,-111.093731
102801,59598,Arizona,Bendixen & Amandi International,SMART Local 359,Bendixen & Amandi International,29,Bendixen & Amandi International,B-,520,rv,rv,Live Phone,U.S. President,9/9/19,9/12/19,Trump,Donald Trump,REP,42,34.048928,-111.093731
102802,59598,Arizona,Bendixen & Amandi International,SMART Local 359,Bendixen & Amandi International,29,Bendixen & Amandi International,B-,520,rv,rv,Live Phone,U.S. President,9/9/19,9/12/19,Biden,Joseph R. Biden Jr.,DEM,42,34.048928,-111.093731
102802,59598,Arizona,Bendixen & Amandi International,SMART Local 359,Bendixen & Amandi International,29,Bendixen & Amandi International,B-,520,rv,rv,Live Phone,U.S. President,9/9/19,9/12/19,Trump,Donald Trump,REP,43,34.048928,-111.093731
102803,59598,Arizona,Bendixen & Amandi International,SMART Local 359,Bendixen & Amandi International,29,Bendixen & Amandi International,B-,520,rv,rv,Live Phone,U.S. President,9/9/19,9/12/19,Warren,Elizabeth Warren,DEM,42,34.048928,-111.093731
102803,59598,Arizona,Bendixen & Amandi International,SMART Local 359,Bendixen & Amandi International,29,Bendixen & Amandi International,B-,520,rv,rv,Live Phone,U.S. President,9/9/19,9/12/19,Trump,Donald Trump,REP,42,34.048928,-111.093731
102783,59591,California,Emerson College,,Emerson College,88,Emerson College,B+,830,rv,rv,IVR/Online,U.S. President,9/13/19,9/16/19,Biden,Joseph R. Biden Jr.,DEM,63.8,36.778261,-119.417932
102783,59591,California,Emerson College,,Emerson College,88,Emerson College,B+,830,rv,rv,IVR/Online,U.S. President,9/13/19,9/16/19,Trump,Donald Trump,REP,36.2,36.778261,-119.417932
